NAME,TYPE,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
Wendy's,Fast Food,3812 N Duke St,36.0529217,-78.90324943,https://locations.wendys.com/united-states/nc/durham/3814-n-duke-street?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,"Holt Elementary, Carrington Middle, Riverside High"
Burger King,Fast Food,1601 NC-55,35.9711649,-78.89237441,https://burgerking.com/store-locator/store/restaurant_5293,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
McDonalds,Fast Food,3117 Tower Blvd,35.97077828,-78.95629868,https://www.mcdonalds.com/us/en-us/location/NC/DURHAM/3117-TOWER-BLVD/11385.html?cid=RF:YXT:GMB::Clicks,"Forest View Elementary, Githens Middle, Jordan High"
Zaxby's Chicken Fingers & Buffalo Wings,Fast Food,3520 Hillsborough Rd,36.02206977,-78.94800518,https://www.zaxbys.com/locations/nc/durham/3520-hillsborough-rd/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"Hillandale Elementary, Brogden Middle, Riverside High"
Taco Bell,Fast Food,3812 N Duke St,36.05368567,-78.90396156,https://locations.tacobell.com/nc/durham/3821-north-duke-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=015846&utm_content=website&y_source=1_NjE0Mzg3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"Holt Elementary, Carrington Middle, Riverside High"
Chipotle Mexican Grill,Fast Food,2608 Erwin Rd,36.05351219,-78.90387573,https://locations.tacobell.com/nc/durham/3821-north-duke-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=015846&utm_content=website&y_source=1_NjE0Mzg3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"Holt Elementary, Carrington Middle, Riverside High"
Chick-fil-A,Fast Food,104 Residence Inn Blvd,35.90358962,-78.89560038,https://www.chick-fil-a.com/locations/nc/research-triangle?utm_source=yext&utm_medium=link,"Parkwood Elementary, Lowes Grove Middle, Hillside High"
McDonald's,Fast Food,4301 N Roxboro St,36.01735449,-78.88674372,https://www.mcdonalds.com/us/en-us/location/NC/DURHAM/2010-N-ROXBORO-ROAD/368.html?cid=RF:YXT:GMB::Clicks,"Glenn Elementary, Carrington Middle, Northern High"
Chick-fil-A,Fast Food,7836 Leonardo Dr,35.90216082,-78.95747062,https://www.chick-fil-a.com/,"Lyons Farm Elementary, Githens Middle, Jordan High"
Taco Bell,Fast Food,3509 Westgate Dr,35.96583218,-78.95824145,https://locations.tacobell.com/nc/durham/3509-westgate-dr.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=029364&utm_content=website&y_source=1_NjE0NDAyMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"Forest View Elementary, Githens Middle, Jordan High"
Hardee's ,Fast Food,3912 N Duke St,36.05432849,-78.90228071,https://locations.hardees.com/nc/durham/3912-north-duke-street?utm_source=yext&utm_medium=gmb-button&utm_campaign=search&utm_content=website&y_source=1_MTIzODg1NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Holt Elementary, Carrington Middle, Riverside High"
Taco Bell,Fast Food,2101 NC-54,35.90339775,-78.89316431,https://locations.tacobell.com/nc/durham/2101-e-nc-highway-54.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=004257&utm_content=website&y_source=1_NjE0NTI1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
McDonald's,Fast Food,3844 S Roxboro St,35.94934139,-78.92151878,https://www.mcdonalds.com/us/en-us/location/NC/DURHAM/3844-S-ROXBORO-STREET/34644.html?cid=RF:YXT:GMB::Clicks,"Southwest Elementary, Githens Middle, Jordan High"
McDonald's,Fast Food,204 NC-54,35.91211942,-78.93451252,https://www.mcdonalds.com/us/en-us/location/NC/DURHAM/204-W-NC-HWY-54/22325.html?cid=RF:YXT:GMB::Clicks,"Lyons Farm Elementary, Githens Middle, Hillside High"
Chick-fil-A,Fast Food,500 Nelson St W.G,35.97688404,-78.89765428,https://www.chick-fil-a.com/locations/nc/north-carolina-central-university?utm_source=yext&utm_medium=link,"Fayetteville Elementary, Githens Middle, Hillside High"
KFC,Fast Food,806 Fayetteville St,35.98602122,-78.89793434,https://locations.kfc.com/nc/durham/806-fayetteville-street,"C.C. Spaulding Elementary, Brogden Middle, Jordan High"
Burger King,Fast Food,3400 Westgate Dr,35.96696654,-78.96031151,https://burgerking.com/store-locator/store/restaurant_3116,"Forest View Elementary, Githens Middle, Jordan High"
