SCHOOL_NAME,LATITUDE,LONGITUDE,ENROLLMENT,ENROLLMENT_NA,STUDENT_TEACHER_ELEM,STUDENT_TEACHER_HS,STUDENT_TEACHER_MS,EXP_TEACHER_RATIO,AVG_CLASS_SIZE,IN_SCHOOL_SUSP_PER_1000,STUDENTS_PER_DEVICE,FUNDING_PER_PUPIL,TITLES_PER_STUDENT,WIFI_ACCESS_PTS,FREE_RED_LUNCH,FREE_RED_PERCENT,ARTS_PROGRAMS,DISABLED_STUDENTS,DISABLED_PERCENT,ESL_STUDENTS,ESL_PERCENT,CTE_RATE,GRADUATION_RATE,EDUC_POST_GRAD,STUDENTS_ADV_COURSES,ADV_COURSES_PERCENT,MED_HOUSEHOLD_INC,MED_HOMESALE_PRICE,MED_HOMESALE_THOU,COST_BURDENED_MORTG,RENTER_OCCUP_HOUSING,MED_AGE,BACHELOR_DEG_RATE,SIDEWALK_COVG,DIVERSITY_DISTRICT,ASIAN_RATE_SCHOOL,ASIAN_RATE_DISTRICT,BLACK_RATE_SCHOOL,BLACK_RATE_DISTRICT,HISP_LAT_RATE_SCHOOL,HISP_LAT_RATE_DISTRICT,INDIG_RATE_SCHOOL,INDIG_RATE_DISTRICT,POC_RATE_SCHOOL,POC_RATE_DISTRICT,WHITE_RATE_SCHOOL,WHITE_RATE_DISTRICT
Merrick-Moore Elementary,36.0055,-78.8521,539,539,11.47,NA,NA,55.2,17.83,53.41,0.72,16381,23.57,1.02,536,NA,"""Music"", ""Visual Arts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,60958,207000,207,0,NA,35.4,50.7,19,NA,0,0.049,0.43,0.43,0.062,0.137,0,0.0022,0.543,0.574,0.457,0.426
Oak Grove Elementary,35.9799,-78.8195,506,506,13.44,NA,NA,61.7,22.33,0,0.78,15737,37.08,1.42,290,NA,"""Music"", ""Visual Arts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,78844,296000,296,0.639,NA,44.8,43.7,50,NA,0.028,0.049,0.561,0.348,0.12,0.137,0,0.0022,0.777,0.574,0.223,0.426
Pearsontown Elementary,35.9323,-789086,729,729,13.14,NA,NA,86.1,19,10.07,0.72,14798,16.16,1.15,174,NA,"""Dance"", ""Music"", ""Visual Arts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,81292,287250,287.25,0.346,NA,37.3,62.9,36,NA,0.051,0.049,0.409,0.348,0.107,0.137,0,0.0022,0.585,0.574,0.415,0.426
W.G. Pearson Elementary,35.95826,-78.90769,360,360,14.2,NA,NA,73.1,15.17,125.37,0.94,17668,39.7,1,357,NA,"""Dance"", ""Music"", ""Visual Arts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,31683,185000,185,0.463,NA,34.8,24.5,71,NA,0.021,0.049,0.597,0.348,0.212,0.137,0,0.0022,0.843,0.574,0.157,0.426
Sandy Ridge Elementary,34.96813,-80.80199,483,483,11.69,NA,NA,93.6,17.33,8.77,0.91,17013,36.38,1.22,269,55.69,"""Dance"", ""Music"", ""Visual Arts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,34662,22500,22.5,0.604,NA,35.8,20.8,50,NA,0.014,0.049,0.619,0.348,0.192,0.137,0,0.0022,0.863,0.574,0.137,0.426
R.N. Harris Elementary,35.97146,-78.88387,278,278,11.35,NA,NA,83.8,14.5,0,0.89,17970,47.35,1.55,275,98.92,"""Dance"", ""Music"", ""Visual Arts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,35247,165000,165,0.483,NA,37.2,27.8,43,NA,0.013,0.049,0.643,0.348,0.273,0.137,0,0.0022,0.985,0.574,0.015,0.426
Spring Valley Elementary,35.95612,-78.81522,542,542,11.78,NA,NA,85.3,17,0,0.9,15941,26.9,1.05,276,50.92,"""Music"", ""Visual Arts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,95072,353000,353,0.413,NA,44.5,59.1,27,NA,0.051,0.049,0.361,0.348,0.077,0.137,0,0.0022,0.503,0.574,0.497,0.426
Y.E Smith Elementary,35.98547,-78.87286,302,302,11.73,NA,NA,82.8,17,7.09,0.78,19888,13.93,0.88,299,99.01,"""Music"", ""Visual Arts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,24689,167750,167.75,0.765,NA,31,15.5,49,NA,0.007,0.049,0.411,0.348,0.447,0.137,0,0.0022,0.891,0.574,0.109,0.426
Brogden Middle,36.02501,-78.90877,604,604,NA,NA,14.65,58.5,20.75,0.18874,0.96,15098,13.01,1.16,604,100,"""Music"", ""Visual Arts""",NA,NA,NA,NA,75.59,NA,NA,NA,NA,43561,226000,22.6,0.166,0.577,35.4,40.3,47,67,0.029,0.011,0.371,0.348,0.432,0.183,0.005,0.0004,0.868,0.622,0.132,0.378
Lakewood Montessori Middle,35.98493,-78.92847,292,292,NA,NA,14.44,92.6,23,0.0411,0.96,16831,40.68,0.55,49,17,"""Music"", ""Visual Arts""",NA,NA,NA,NA,48.99,NA,NA,NA,NA,47500,395000,39.5,0.22,0.462,35,57.6,12,63,0.017,0.029,0.243,0.354,0.266,0.151,0,0.0003,0.581,0.623,0.419,0.377
Lowes Grove Middle,35.90461,-78.89126,665,665,NA,NA,13.3,70.2,14.67,0.4003,0.75,14638,10.57,1.09,382,57.4,"""Music"", ""Visual Arts""",NA,NA,NA,NA,85.1,NA,NA,NA,NA,66140,293000,29.3,0.21,0.54,31.9,49.2,49,61,0.012,0.026,0.558,0.485,0.345,0.083,0,0,0.95,0.626,0.05,0.374
Sherwood Githens Middle,35.94427,-78.97978,831,831,NA,NA,14.33,82.8,18,0.16829,1.05,14390,16.52,0.88,321,38.63,"""Music"", ""Visual Arts""",NA,NA,NA,NA,82,NA,NA,NA,NA,86444,407500,41,NA,NA,41.4,71.8,40,55,0.03008596,0.044,0.3293893,0.269,0.3239358,0.26,0.002406608,0,0.6858176,0.598,0.2579533,0.402
Lucas Middle,36.10914,-78.88588,420,420,NA,NA,10.37,58.6,15,0.23404,0.79,16971,22.31,1.34,231,55,"""Music"", ""Visual Arts""",NA,NA,NA,NA,82,NA,NA,NA,NA,69556,243000,24,NA,NA,35.7,35.7,37,24,0.007142857,0,0.447619,0.177,0.3261905,0.181,0,0,0.7809524,0.365,0.1785714,0.635
Carrington Middle,36.08757,-78.91818,827,827,NA,NA,12.53,84.4,16,0.33091,1.04,15120,14.54,0.97,478,57.8,"""Music"", ""Visual Arts""",NA,NA,NA,NA,82,NA,NA,NA,NA,86638,264750,26,NA,NA,39.9,48.5,26,45,0.020558,0.031,0.418616,0.235,0.401691,0.016,0.002417,0,0.843282,0.301,0.130554,0.699
Neal Middle,35.97812,-78.7812,820,820,NA,NA,13.08,87.5,20,0.18284,0.98,14600,12.61,1.05,817,99.63,"""Music"", ""Visual Arts""",NA,NA,NA,NA,86,NA,NA,NA,NA,59601,247250,25,NA,NA,36.8,34.2,5,45,0.0097561,0,0.4512195,0.047,0.4658537,0.256,0.002439,0,0.9292683,0.303,0.0414634,0.697
Rogers-Herr Middle,35.97283,-78.93391,642,642,NA,NA,14.76,87.5,21,0.12913,0.81,14520,14.6,1.22,212,33.02,"""Music"", ""Visual Arts""",NA,NA,NA,NA,71,NA,NA,NA,NA,43180,262500,26,NA,NA,29.6,50.7,16,57,0.03115265,0.007,0.435514,0.304,0.2586336,0.342,0.00155763,0,0.7268579,0.721,0.2261039,0.279
Shepard Middle,35.96548,-78.89958,409,409,NA,NA,12.58,90.7,17,0.12563,0.92,11002,25.49,1.06,240,58.68,"""Music"", ""Visual Arts""",NA,NA,NA,NA,62,NA,NA,NA,NA,30332,163000,16,NA,NA,34.9,23.4,58,48,0.009782,0,0.604398,0.643,0.35797,0.215,0,0,0.97215,0.952,0.012228,0.048
Durham School of the Arts,36.00297,-78.9059,1763,1763,NA,NA,15.07,88.8,22,0.23642,1,13323,12.67,1.13,382,21.67,"""Music"", ""Visual Arts""",NA,NA,NA,NA,11,NA,NA,NA,NA,70043,575000,58,NA,NA,31.3,77.4,1.1,51,0.032328,0.04,0.261978,0.156,0.302135,0.059,0.001699,0,0.59814,0.364,0.349845,0.636
School for Creative Studies,36.07204,-78.82223,565,565,NA,NA,12.77,80.7,20,0.50273,0.92,15391,26.92,1.24,193,34.16,"""Music"", ""Visual Arts""",NA,NA,NA,NA,53,NA,NA,NA,NA,55434,192000,19,NA,NA,36.7,25.7,0,53,0,0,0.4778761,0.491,0.3327434,0.113,0.0106195,0,0.821239,0.623,0.139823,0.377
Hillside High,35.95339276,-78.90357409,1475,1424,NA,15.69,NA,78.4,16,197.7,0.71,13768,8.71,1.06,"1,461",99.05,"""Dance"", ""Music"", ""Theatre Arts"", ""Visual Arts""",,,,,61,86.1,43,290,19.7,25524,155000,15.5,0.676,0.494,46.6,27.8,12,20,0.005,0,0.673,0.864,0.266,0.094,0.002,0,0.98,0.971,0.02,0.029
Jordan High,35.92390841,-78.9613309,1939,1939,NA,17.61,NA,83.2,32.67,98.91,0.83,12215,6.34,1.01,567,36.74,"""Dance"", ""Music"", ""Theatre Arts"", ""Visual Arts""",,,,,62,83.3,59,607,31.3,105833,395000,39.5,0.086,0.269,39.6,71.8,27,54,0.034,0.044,0.316,0.192,0.3,0.099,0.003,0,0.712,0.374,0.288,0.626
Riverside High,36.06566786,-78.94334034,1731,1731,NA,16.53,NA,79.3,22,256.38,0.85,13069,9.28,0.71,636,29.24,"""Dance"", ""Music"", ""Theatre Arts"", ""Visual Arts""",,,,,60,74.6,51,378,21.8,79449,314750,31.47,0.097,0.568,46.6,71.2,26,20,0.023,0.002,0.292,0.067,0.388,0.019,0.002,0,0.744,0.111,0.256,0.889
City of Medicine Academy,36.03812,-78.90232,352,352,NA,13.94,NA,91.7,13.94,14.58,0.93,15033,19.34,1,129,36.65,NA,,,,,95,95,71,179,50.9,47875,226000,22.6,0.089,0.677,31.9,40.3,23,43,0.006,0.042,0.392,0.207,0.466,0.27,0.006,0.0001,0.926,0.565,0.074,0.435
J.D. Clement Early College,35.97467,-78.90097,395,395,NA,32.67,NA,95.3,32.67,0,0.85,10266,3.08,1.31,112,28.35,"""Visual Arts""",,,,,5,95,87,386,97.7,29000,173500,17.35,0.134,0.581,31.9,42.4,78,49,0.02,0.018,0.577,0.652,0.309,0.074,0.003,0.0011,0.954,0.779,0.046,0.221
Durham School of Technology,35.95339276,-78.90357409,251,251,NA,7.97,NA,94.2,NA,50.18,0.78,13425,0,0.93,251,100,"""Visual Arts""",,,,,86,95,64,62,24.7,25524,155000,15.5,0.676,0.494,21.3,16.3,58,20,NA,0,NA,0.864,NA,0.094,NA,0,NA,0.971,NA,0.029
Middle College ,35.97539,-78.88072,124,124,NA,19.22,NA,89.2,19.22,8.4,1.28,14564,0,0,17,13.71,NA,,,,,37,95,89,118,95.2,22917,84500,84.5,0.622,0.887,31,16.3,58,37,0.04,0,0.234,0.703,0.266,0.29,0,0,0.597,0.992,0.403,0.008
Holton Career,35.98982,-78.87893,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1.18,NA,NA,NA,,,,,NA,NA,NA,NA,NA,30595,185500,18.55,0.208,0.677,38.6,18.9,73,59,NA,0,NA,0.486,NA,0.193,NA,0.0275,NA,0.746,NA,0.254
Northern High,36.09381,-78.91181,1307,1307,NA,13.51,NA,81.1,19.25,144.93,0.9,14690,10.33,0.78,583,44.61,"""Dance"", ""Music"", ""Theatre Arts"", ""Visual Arts""",,,,,69,82.9,46,253,19.4,86638,264750,26.48,0.376,0.041,45.6,48.5,12,12,0.011,0,0.415,0.035,0.331,0.164,0.002,0,0.8,0.213,0.2,0.787
Southern High,35.99991,-78.8292,1269,1269,NA,15.86,NA,72,22.5,79.93,0.85,13867,8.44,0.83,1266,99.76,"""Dance"", ""Music"", ""Theatre Arts"", ""Visual Arts""",,,,,72,80.3,30,73,5.8,59601,247250,24.73,0.205,0.169,35,34.2,44,0.64,0.009,0.003,0.459,0.516,0.473,0.186,0.004,0.026,0.974,0.746,0.026,0.217
Lakeview High,36.03763,-78.87844,30,30,NA,1.46,NA,85,9.75,535.35,0.9,41718,0.2,0.3,27,90,"""Music""",,,,,95,53.6,0,NA,NA,34662,225000,22.5,0.295,0.572,34.4,50.7,27,0,0,0,0.933,100,0.033,0,0,0,1,100,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
