SCHOOL_NAME,LATITUDE,LONGITUDE,ENROLLMENT,ENROLLMENT_NA,STUDENT_TEACHER_ELEM,STUDENT_TEACHER_HS,EXP_TEACHER_RATIO,AVG_CLASS_SIZE,FREE_RED_LUNCH,FREE_RED_PERCENT,IN_SCHOOL_SUSP_PER_1000,STUDENTS_PER_DEVICE,FUNDING_PER_PUPIL,ARTS_PROGRAMS,DISABLED_STUDENTS,DISABLED_PERCENT,ESL_STUDENTS,ESL_PERCENT,CTE_RATE,GRADUATION_RATE,EDUC_POST_GRAD,STUDENTS_ADV_COURSES,ADV_COURSES_PERCENT,MED_HOUSEHOLD_INC,MED_HOMESALE_PRICE,MED_HOMESALE_THOU,COST_BURDENED_MORTG,RENTER_OCCUP_HOUSING,MED_AGE,BACHELOR_DEG_RATE,SIDEWALK_COVG,DIVERSITY_ZONE,ASIAN_RATE_SCHOOL,ASIAN_RATE_DISTRICT,BLACK_RATE_SCHOOL,BLACK_RATE_DISTRICT,HISP_LAT_RATE_SCHOOL,HISP_LAT_RATE_DISTRICT,INDIG_RATE_SCHOOL,INDIG_RATE_DISTRICT,POC_RATE_SCHOOL,POC_RATE_DISTRICT,WHITE_RATE_SCHOOL,WHITE_RATE_DISTRICT,TITLES_PER_STUDENT,WIFI_ACCESS_PTS
Hillside High,35.95339276,-78.90357409,1428,1428,NA,16.25,83,19.25,1413,98.9,66.25,0.82,10625,"""Dance"", ""Music"", ""Theater Arts"", ""Visual Arts""",211,14.8,110,7.7,66,81,0.49,218,15.27,59070,222196,22.22,0.21,0.56,35.4,41,37,49,0.007,0.053,0.707,0.507,0.229,0.12,0.002,0.009,0.976,0.725,0.024,0.281,7.37,1.3
Jordan High,35.92390841,-78.9613309,1878,1878,NA,17.33,73,20,562,29.9,72.62,0.92,9603,"""Dance"", ""Music"", ""Theater Arts"", ""Visual Arts""",205,10.9,264,14.1,63,82.6,NA,567,30.19,77124,354622,35.46,0.23,0.43,38.3,53.9,32,51,0.044,0.065,0.329,0.25,0.278,0.093,0.004,0.009,0.702,0.44,0.298,0.557,9.37,1.07
Durham County,NA,NA,31577,NA,20.5,24,79,NA,NA,51.65,93.69,0.8,11672,NA,4186,13.3,5002,15.8,53,83.5,NA,2911,9.22,58190,278000,27.8,0.23,0.52,35.2,44.1,35,51,NA,0.021,NA,0.41,NA,0.332,NA,0.002,0.807,NA,NA,0.19,17.16,1.06
Riverside High,36.06566786,-78.94334034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,0.88
