CENTER_NAME,name,LATITUDE,LONGITUDE,URL,,,,,
QEI of Durham Child Development Center,QEI of Durham Child Development Center,35.9627294,-78.901156,https://childcarecenter.us/provider_detail/qei_of_durham_child_development_center_durham_nc,,,,,
Sandy Ridge Elementary Pre-K,Sandy Ridge Elementary Pre-K,36.0837471,-78.8514109,https://www.dpsnc.net/Page/214,,,,,
Scarborough Nursery School #1,Scarborough Nursery School #1,35.995033,-78.895259,https://childcarecenter.us/provider_detail/scarborough_nursery_school_1_durham_nc,,,,,
South Square KinderCare,South Square KinderCare,35.9663445,-78.9499327,https://www.kindercare.com/our-centers/durham/nc/300860,,,,,
Spring Valley Elementary Pre-K,Spring Valley Elementary Pre-K,35.9558102,-78.8154523,https://durhamprek.org/spring-valley-elementary-school-2/,,,,,
The Asbury Preschool,The Asbury Preschool,36.0102473,-78.9180647,http://www.asburypreschool.com,,,,,
WG Pearson SAC Club,WG Pearson SAC Club,35.982852,-78.89884,https://childcarecenter.us/provider_detail/wg_pearson_sac_club_durham_nc,,,,,
Wildflower Cottage for Children,Wildflower Cottage for Children,35.977252,-78.9394545,https://wildflowercottage.org,,,,,
Bethesda SAC Club,Bethesda SAC Club,35.9407167,-78.8377877,https://childcarecenter.us/provider_detail/bethesda_sac_club_durham_nc,,,,,
Children First Inc.,Children First Inc.,35.9881533,-78.9156901,http://childrenfirstschool.org/cf/,,,,,
Christian Prep Academy Inc.,Christian Prep Academy Inc.,35.904186,-78.91274,https://www.christianprepacademyinc.com,,,,,
Club Blvd SAC Club,Club Blvd SAC Club,36.0192142,-78.8966461,https://childcarecenter.us/provider_detail/club_blvd_sac_club_durham_nc,,,,,
Community Preschool at Lakewood,Community Preschool at Lakewood,35.9883973,-78.925936,https://www.communitypsnc.com,,,,,
Creative Care Early Learning Academy,Creative Care Early Learning Academy,36.0273649,-78.8841379,https://creative-care-early-learning-academy-creative-care2.business.site,,,,,
Creekside SAC Club,Creekside SAC Club,35.9294577,-78.9945214,https://childcarecenter.us/provider_detail/creekside_sac_club_durham_nc,,,,,
