SCHOOL_NAME,LATITUDE,LONGITUDE,ENROLLMENT,ENROLLMENT_NA,STUDENT_TEACHER_ELEM,STUDENT_TEACHER_HS,STUDENT_TEACHER_MS,EXP_TEACHER_RATIO,AVG_CLASS_SIZE,IN_SCHOOL_SUSP_PER_1000,STUDENTS_PER_DEVICE,FUNDING_PER_PUPIL,TITLES_PER_STUDENT,WIFI_ACCESS_PTS,FREE_RED_LUNCH,FREE_RED_PERCENT,ARTS_PROGRAMS,DISABLED_STUDENTS,DISABLED_PERCENT,ESL_STUDENTS,ESL_PERCENT,CTE_RATE,GRADUATION_RATE,EDUC_POST_GRAD,STUDENTS_ADV_COURSES,ADV_COURSES_PERCENT,MED_HOUSEHOLD_INC,MED_HOMESALE_PRICE,MED_HOMESALE_THOU,COST_BURDENED_MORTG,RENTER_OCCUP_HOUSING,MED_AGE,BACHELOR_DEG_RATE,SIDEWALK_COVG,DIVERSITY_DISTRICT,ASIAN_RATE_SCHOOL,ASIAN_RATE_DISTRICT,BLACK_RATE_SCHOOL,BLACK_RATE_DISTRICT,HISP_LAT_RATE_SCHOOL,HISP_LAT_RATE_DISTRICT,INDIG_RATE_SCHOOL,INDIG_RATE_DISTRICT,POC_RATE_SCHOOL,POC_RATE_DISTRICT,WHITE_RATE_SCHOOL,WHITE_RATE_DISTRICT
Brogden Middle,36.02501028,-78.90877192,628,628,NA,NA,14.6,76.3,16,0,0.62,13995,16.16,1.24,625,99.52,"""Music"", ""Visual Arts""",,,,,75.59,NA,NA,NA,NA,62168,342362,34.24,0.166,0.577,36.8,40.1,50,51,0.029,0.0047,0.371,0.208,0.432,0.148,0.005,0.0055,0.868,0.436,0.132,0.564
Lakewood Montessori Middle,35.9849252,-78.92847496,301,301,NA,NA,15.05,95.4,14,0,0.91,13866,36.25,0.72,60,19.93,"""Music"", ""Visual Arts""",,,,,48.99,NA,NA,NA,NA,60958,290500,29.05,0.22,0.462,35.4,44.1,35,67,0.017,0.049,0.243,0.359,0.266,0.135,0,0.01,0.581,0.575,0.419,0.425
Lowes Grove Middle,35.90460598,-78.89125923,679,679,NA,NA,15.09,78,21,3.21,0.88,12718,9.71,1.09,377,55.52,"""Music"", ""Visual Arts""",,,,,85.1,NA,NA,NA,NA,67619,279250,27.93,0.21,0.54,35.1,48.8,34,60,0.012,0.068,0.558,0.47,0.345,0.109,0,0.0076,0.95,0.68,0.05,0.32
Durham County,NA,NA,30811,NA,15.4,15.4,,82.4,NA,1.65,0.79,12945,17.16,1.06,16289,51.65,NA,4292,13.7,,,56,87,,,,60958,290500,29.05,0.22,0.462,35.4,44.1,35.00,67,NA,0.049,NA,0.359,NA,0.135,NA,0.010,NA,0.575,NA,0.425
