STOP_NAME,STOP_ID,LATITUDE,LONGITUDE,SHARED_ROUTES,SHELTERED,SIDEWALK
Green St at Berkeley St (WB),5965,36.011652,-78.91573,11,0,1
Chapel Hill Rd at Vesson Ave,5966,35.983018,-78.930887,"10, 10A, 10B",0,NA
Markham Ave at Iredell St,5967,36.009958,-78.921242,11,0,1
Glenbrook St at Club Blvd (SB),5968,36.024384,-78.877255,"9, 9A, 9B",0,NA
Fayetteville Rd at Cook Rd (SB),5970,35.92917,-78.919856,5,0,NA
University Dr at Myra St (WB),5971,35.9665,-78.95292,"10, 10A, 10B",0,NA
Carver St at Charlotte St,5972,36.037715,-78.934167,"1, 1A, 1B",0,NA
NC 55 at Meridian Pkwy,5973,35.9102936,-78.892919,"12, 12B",0,NA
Buchanan Blvd at Gloria Ave (NB),5974,36.003373,-78.912423,11,0,1
Miami Blvd at Robinhood Rd,5977,36.000821,-78.875526,"2B, 23",0,0
Emerald Pond Ln at Pickett Rd,5979,35.97532,-78.96993,10B,1,NA
University Dr at Martin Luther King Jr Pkwy (WB),5980,35.963085,-78.960194,"10, 10A, 400",1,1
N Alston Ave at Geer St (SB),5981,36.003172,-78.886093,"9, 9A, 9B",0,NA
Duke University Rd at Swift Ave (WB),5982,35.997328,-78.924603,"6, 6B",0,NA
Duke St at Kinder Care,5983,36.042654,-78.905756,"4, 9, 9A",0,NA
NC 55 at Dakota St,5984,35.967234,-78.895287,"12, 12B",0,NA
Mangum St at Markham Ave,5985,36.008015,-78.893528,4,0,NA
Otis St at Cecil St,5987,35.97208,-78.90627,7,0,NA
Roxboro St at Gray St,5988,35.999005,-78.894099,"9, 9A, 9B",0,NA
Avondale Dr at Trinity Ave (SB),5989,36.006855,-78.885575,"9, 9A, 9B",0,0
Durham-Chapel Hill Blvd at Car Wash,5990,35.97408,-78.93042,"10, 10A",0,NA
Lynn Rd at Holloway St,5991,35.98652,-78.84353,"3C, 23",0,NA
E Club Blvd at Cascadilla St,5992,36.019858,-78.88636,"9, 9A, 9B",0,NA
Duke St at Trinity Ave,5993,36.00497,-78.90555,"1, 1A, 1B",0,NA
Green St at Berkeley St (EB),5995,36.011557,-78.915981,11,0,1
Meriwether Dr at Old Oxford Rd,5996,36.035929,-78.889875,"9, 9A, 9B",0,NA
Hillsborough Rd at Hilton Durham (WB),5997,36.02485,-78.95708,11,0,NA
Chapel Hill Rd at W Cornwallis Rd,5999,35.97543,-78.93652,"10, 10A, 10B",0,NA
NC 54 at Pine Glen Trail (WB),6000,35.9073197,-78.922869,"14, 800, 805",1,1
Roxboro Rd at Bon Air Ave,6003,36.028286,-78.889972,4,0,NA
NC 55 at Crete St,6004,35.959794,-78.893333,"12, 12B",0,NA
Ben Franklin Blvd at Danube Ln (EB),6005,36.047712,-78.889843,9B,0,1
Buchanan Blvd at Green St,6006,36.0113411,-78.912148,11,0,1
Service Rd at Hillandale Rd (EB),6007,36.0164994,-78.93665,11,0,NA
Angier Ave at Beldon Dr,6008,35.94652,-78.83895,"2, 2A",0,NA
