CENTER_NAME,LATITUDE,LONGITUDE
Kids R Kids RTP,35.9241828,-78.8425073
Childcare Network #166,35.921341,-78.934498
Childcare Network #57,36.0225058,-78.9076229
Childcare Network Rippling Stream,36.0711936950683,-78.9070892333984
Children's Campus at Southpoint,35.895186,-78.94166
Russell Memorial Child Development Center,35.9798433,-78.8909168
The Goddard School,35.9288795,-78.9207343
Abundant Love Christian Daycare Center,35.88234,-78.850112
Bright Horizons at Imperial Center,35.878189086914,-78.8444442749023
Bright Horizons at Independence ,36.0481643676757,-78.8978729248046
Butterfly Kisses Academy,36.0449806,-78.9299247
Cresset Christian Academy Pre-School,35.967185974121,-78.976577758789
Eastway SAC Club,35.980984,-78.891119
Gorman Early Education Center,36.0441533,-78.8160215
Hope Valley Preschool,35.917703,-78.966194
Leathers/Meachem Head Start,35.9923309,-78.8853062
Little Engine Academy at Bragtown,36.025704,-78.889869
NCUU Child Development Labratory,35.9694595336914,-78.9020538330078
Parkwood SAC Club,35.8914633,-78.9062514
Primary Colors Early Learning Center,35.9672143,-78.9405407
Rose of Sharon Day Care Center,36.0659905,-78.9340639
Spanish Learing Center of Durham,35.90038,-78.885148
Spring Valley SAC Club,35.9537887573242,-78.8170318603515
Sunshine Smiles Academy,36.0353834,-78.9100976
The Little School at Duke,36.0030615,-78.9231727
Yates Baptist Child Development Center,35.9735059,-78.9363527
Another Beautiful Beginnings Child Care Center,35.9857344,-78.8865691
Butron Elementary School,35.9782292,-78.8876955
CC Spaulding Elementary Pre-K,35.979254,-78.905835
Duke Children's Campus,36.0012189,-78.9267821
Duke Street KinderCare,36.0420781,-78.9055045
Eagle Wings International Academy,35.9827041625976,-78.8264389038086
Early Start Academy,36.0110709,-78.9304525
Eno Valley SAC Club,36.0853886,-78.9130052
Forest View SAC Club,35.9898071289062,-78.9914245605468
Hillandale Elementary Pre-K,36.0524508,-78.9333155
Hope Valley SAC Club,35.9674484,-78.9396514
Jumping Jacks Academy,36.0395618,-78.9300715
Kiddie Kollege #1,35.96823,-78.897841
La Petite Academy Highgate,35.9117239,-78.9452445
La Petite Academy Highway 98,35.9790148,-78.813629
Lakewood Elementary School,35.9830548,-78.9354446
Little River SAC Club,36.0986266,-78.8636214
Mount Sylvan United Methodist,36.098839,-78.909958
New Life Child Development Center,35.892594,-78.9400164
Ninth Street Kin,36.0141059,-78.9190233
Oak Grove Elementary Pre-K,35.9799386,-78.8192904
Primrose School at Hope Valley Farms,35.9388143,-78.9279273
QEI of Durham Child Development Center,35.9627294,-78.901156
Sandy Ridge Elementary Pre-K,36.0837471,-78.8514109
Scarborough Nursery School #1,35.995033,-78.895259
South Square KinderCare,35.9663445,-78.9499327
Spring Valley Elementary Pre-K,35.9558102,-78.8154523
The Asbury Preschool,36.0102473,-78.9180647
WG Pearson SAC Club,35.982852,-78.89884
