CENTER_NAME,name,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaat Ibad Ar Rahman,Jamaat Ibad Ar Rahman,35.96316,-78.90855,https://ibadarrahman.org,"All,Fayetteville Street Elementary,Hillside High,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southside Church of Christ,Southside Church of Christ,35.96276,-78.90086,https://sside.org,"All,Fayetteville Street Elementary,Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway To Heaven United Holy Church,Gateway To Heaven United Holy Church,35.96672,-78.9026,https://nccompanies.com/company/0796297/gateway-to-heaven-united-holy-church-inc.html,"All,Fayetteville Street Elementary,Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Bethlehem Temple Apostolic Faith Church,Greater Bethlehem Temple Apostolic Faith Church,35.98613,-78.88842,http://www.usachurches.org/church/bethlehem-temple-apostolic-faith-church.htm,"All,Y.E. Smith Elementary,Neal Middle,Southern School of Energy and Sustainability High School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God First People Second Church,God First People Second Church,35.98894,-78.88919,https://www.ctmobi.com/listing/8712034/god-first-people-second-church,"All,Brogden Middle,W.G. Pearson Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Church of the Apostolic Revival International,The Church of the Apostolic Revival International,35.98696,-78.88765,http://www.usachurches.org/church/the-church-of-the-apostolic-revival-international.htm,"All,Y.E. Smith Elementary,Neal Middle,Southern School of Energy and Sustainability High School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Assembly for Christ,United Assembly for Christ,35.98991,-78.89537,https://www.discoverdurham.com/directory/united-assembly-for-christ/,"All,Brogden Middle,W.G. Pearson Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe Christian Church,Monroe Christian Church,35.96442,-78.8882,https://www.dnb.com/business-directory/company-profiles.monroe_christian_church.4d2817e23e8cff04d9d915c79eda362c.html,"All,Hillside High,Bethesda Elementary,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church of the Abiding Savior,Church of the Abiding Savior,35.96961,-78.89277,https://abiding-savior-lutheran.org,"All,Hillside High,Bethesda Elementary,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Rock Baptist Church,White Rock Baptist Church,35.95767,-78.91067,https://www.whiterockbaptistchurch.org,"All,Fayetteville Street Elementary,Hillside High,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Life Chapel,New Life Chapel,35.9645,-78.92133,https://www.newlifechapel.net,"All,Jordan High,Githens Middle,Southwest Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell Yeager Freewill Baptist Church,Bell Yeager Freewill Baptist Church,35.96433,-78.91773,https://www.bellyeagerfwb.org,"All,Hillside High,Brogden Middle,C.C. Spaulding Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
