,Unnamed: 0,name,CENTER_NAME,LATITUDE,LONGITUDE,school_zones
42,42,Little River SAC Club,Little River SAC Club,36.0986266,-78.8636214,Ten Schools
43,43,Mount Sylvan United Methodist,Mount Sylvan United Methodist,36.098839,-78.909958,Ten Schools
44,44,New Life Child Development Center,New Life Child Development Center,35.892594,-78.9400164,"CEJordan,Ten Schools"
45,45,Ninth Street Kin,Ninth Street Kin,36.0141059,-78.9190233,"EK Powe,Ten Schools"
46,46,Oak Grove Elementary Pre-K,Oak Grove Elementary Pre-K,35.9799386,-78.8192904,Ten Schools
47,47,Primrose School at Hope Valley Farms,Primrose School at Hope Valley Farms,35.9388143,-78.9279273,"CEJordan,Southwest,Ten Schools"
48,48,QEI of Durham Child Development Center,QEI of Durham Child Development Center,35.9627294,-78.901156,"Fayetteville St,Hillside,Ten Schools"
49,49,Sandy Ridge Elementary Pre-K,Sandy Ridge Elementary Pre-K,36.0837471,-78.8514109,Ten Schools
50,50,Scarborough Nursery School #1,Scarborough Nursery School #1,35.995033,-78.895259,"Eastway,Ten Schools"
51,51,South Square KinderCare,South Square KinderCare,35.9663445,-78.9499327,"CEJordan,Ten Schools"
52,52,Spring Valley Elementary Pre-K,Spring Valley Elementary Pre-K,35.9558102,-78.8154523,Ten Schools
53,53,The Asbury Preschool,The Asbury Preschool,36.0102473,-78.9180647,"EK Powe,Ten Schools"
54,54,WG Pearson SAC Club,WG Pearson SAC Club,35.982852,-78.89884,"CEJordan,Ten Schools"
55,55,Wildflower Cottege for Children,Wildflower Cottege for Children,35.977252,-78.9394545,"CEJordan,Lakewood,Ten Schools"
56,56,Bethesda SAC Club,Bethesda SAC Club,35.9407167,-78.8377877,"Hillside,Ten Schools"
57,57,Bryson Christian Montessori School III,Bryson Christian Montessori School III,35.9248252,-78.9603316,"CEJordan,Ten Schools"
58,58,Children First Inc.,Children First Inc.,35.9881533,-78.9156901,"CC Spaulding,CEJordan,Ten Schools"
59,59,Christian Prep Academy Inc.,Christian Prep Academy Inc.,35.904186,-78.91274,"Hillside,Parkwood,Ten Schools"
60,60,Club Blvd SAC Club,Club Blvd SAC Club,36.0192142,-78.8966461,Ten Schools
61,61,Community Preschool at Lakewood,Community Preschool at Lakewood,35.9883973,-78.925936,"CEJordan,Lakewood,Ten Schools"
62,62,Creative Care Early Learning Academy,Creative Care Early Learning Academy,36.0273649,-78.8841379,Ten Schools
63,63,Creekside SAC Club,Creekside SAC Club,35.9294577,-78.9945214,"CEJordan,Ten Schools"
64,64,Easley SAC Club,Easley SAC Club,36.0754225,-78.9268729,Ten Schools
65,65,Eastway Elementary Pre-K,Eastway Elementary Pre-K,35.973822,-78.893912,"Hillside,Ten Schools"
66,66,EK Powe SAC Club,EK Powe SAC Club,36.012086,-78.921974,"EK Powe,Ten Schools"
67,67,Fellowship Baptist Daycare,Fellowship Baptist Daycare,36.000299,-78.8615612,Ten Schools
68,68,Glaxo Child Development Center,Glaxo Child Development Center,35.9277056,-78.8611299,"Hillside,Ten Schools"
69,69,Glenn SAC Club,Glenn SAC Club,36.0289571,-78.8377654,Ten Schools
70,70,Hillandale SAC Club,Hillandale SAC Club,36.0524508,-78.9333155,Ten Schools
71,71,Holt SAC Club,Holt SAC Club,36.0562431,-78.9064834,Ten Schools
72,72,Lakewood SAC Club,Lakewood SAC Club,35.9830548,-78.9354446,"CEJordan,Lakewood,Ten Schools"
73,73,Linking Connections Learning Center,Linking Connections Learning Center,36.018437,-78.889848,Ten Schools
74,74,"Loving, Caring, and Sharing","Loving, Caring, and Sharing",35.9702858,-78.8881475,"Hillside,Ten Schools"
75,75,Merrick-Moore SAC Club,Merrick-Moore SAC Club,36.0054223,-78.8519514,Ten Schools
76,76,Morehead SAC Club,Morehead SAC Club,35.989161,-78.913225,"CC Spaulding,CEJordan,Ten Schools"
77,77,Oak Grove SAC Club,Oak Grove SAC Club,35.981254,-78.82071,Ten Schools
78,78,Pearsontown SAC Club,Pearsontown SAC Club,35.9320941,-78.9082601,"Hillside,Parkwood,Ten Schools"
79,79,Pobaby Development Academy,Pobaby Development Academy,35.949556,-78.90626,"Hillside,Southwest,Ten Schools"
80,80,Sandy Ridge SAC Club,Sandy Ridge SAC Club,36.0572963,-78.8710677,Ten Schools
