name,PROGRAM_NAME,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eno Valley Elementary,Eno Valley Elementary,"117 Milton Rd, Durham, NC 27712",36.08522939,-78.91218519,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Eno Valley Elementary, Carrington Middle, Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Elementary ,Glenn Elementary ,"2415 E Geer St, Durham, NC 27704",36.02879253,-78.83637633,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Glenn Elementary, Neal Middle, Southern School of Energy and Sustainability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creekside Elementary,Creekside Elementary,"5321 State Rd 1114, Durham, NC 27707",35.92868843,-78.99263634,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Creekside Elementary, Sherwood Githens Middle, Jordan High ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easley Elementary,Easley Elementary,"302 Lebanon Cir, Durham, NC 27712",36.07594369,-78.9262904,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Easley Elementary, Carrington Middle, Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burton Elementary,Burton Elementary,"1500 Mathison St, Durham, NC 27701",35.97939869,-78.88684478,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Bethesda Elementary, Lowes Grove Middle, Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethesda Elementary,Bethesda Elementary,"2009 S Miami Blvd, Durham, NC 27703",35.94083245,-78.8370179,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Bethesda Elementary, Lowes Grove Middle, Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Watts Elementary ,George Watts Elementary ,"700 Watts St, Durham, NC 27701",36.00833258,-78.90985938,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, George Watts Elementary, E.K. Powe Elementary, Brogden Middle, Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holt Elementary,Holt Elementary,"4019 Holt School Rd, Durham, NC 27704",36.05665435,-78.90551198,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Holt Elementary, Carrington Middle, Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Valley Elementary,Hope Valley Elementary,"3005 Dixon Rd, Durham, NC 27707",35.96754632,-78.93713912,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Hope Valley Elementary, Githens Middle, Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangum Elementary ,Mangum Elementary ,"9008 Quail Roost Rd, Bahama, NC 27503",36.16998973,-78.87556775,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Mangum Elementary, Lucas Middle, Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morehead Montessori Elementary ,Morehead Montessori Elementary ,"909 Cobb St, Durham, NC 27707",35.98857965,-78.91259044,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Morehead Montessori, C.C. Spaulding Elementary, Brogden Middle, Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrick-Moore Elementary,Merrick-Moore Elementary,"2325 Cheek Rd, Durham, NC 27704",36.00550032,-78.85114332,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Merrick Moore Elementary, Neal Middle, Southern School of Energy and Sustainability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Grove Elementary ,Oak Grove Elementary ,"3810 Wake Forest Hwy, Durham, NC 27703",35.98022382,-78.81873965,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Oak Grove Elementary, Neal Middle, Southern School of Energy and Sustainability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearsontown Elementary ,Pearsontown Elementary ,"4915 Barbee Rd, Durham, NC 27713",35.93277138,-78.90840965,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Pearsontown Elementary, Lowes Grove Middle, Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG Pearson Elementary,WG Pearson Elementary,"3501 Fayetteville St, Durham, NC 27707",35.95836467,-78.90670953,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, W.G. Pearson Elementary, Lowes Grove Middle, Hillside High ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Ridge Elementary ,Sandy Ridge Elementary ,"1417 Old Oxford Rd, Durham, NC 27704",36.05782755,-78.87016959,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Sandy Ridge Elementary, Eno Valley Elementary, Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.N. Harris Elementary,R.N. Harris Elementary,"1520 Cooper St, Durham, NC 27703",35.97170543,-78.88271069,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, R.N. Harris Elementary, Bethesda Elementary, Lowes Grove Middle, Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Valley Elementary ,Spring Valley Elementary ,"2051 Northern Durham Pkwy, Durham, NC 27703",35.95597432,-78.81411252,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Spring Valley Elementary, Neal Middle, Souther School of Energy and Sustainability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YE Smith Elementary ,YE Smith Elementary ,"2410 E Main St, Durham, NC 27703",35.98565331,-78.87177527,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All, Y.E. Smith Elementary, Neal Meal , Southern School of Energy and Sustainability ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherwood Githens,Encore! Program,"4800 Old Chapel Hill Rd, Durham, NC 27707",35.94435372,-78.97964238,https://www.dpsnc.net/Page/2336,"All, Creekside Elementary, Sherwood Githens Middle, Jordan High ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas,Encore! Program,"923 Snow Hill Rd, Durham, NC 27712",36.10917969,-78.88577969,https://www.dpsnc.net/Page/2337,"All, Little River Elementary, Lucas Middle, Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington,Encore! Program,"227 Milton Rd, Durham, NC 27712",36.08820429,-78.91766272,https://www.dpsnc.net/Page/2338,"All, Carrington Middle, Eno Valley Elementary, Northern High ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neal,Encore! Program,"201 Baptist Rd, Durham, NC 27704",35.97813262,-78.78250502,https://www.dpsnc.net/Page/2339,"All, Neal Middle, Eno Valley, Carrington Middle, Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers-Herr,Encore! Program,"911 W Cornwallis Rd, Durham, NC 27707",35.9725369,-78.93508413,https://www.dpsnc.net/Page/2340,"All, Hope Valley Elementary, Pearsontown Elementary, Rogers-Herr Middle, Githens Middle, Jordan High, School for Creative Studies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shepard,Encore! Program,"2401 Dakota St, Durham, NC 27707",35.96620355,-78.89951258,https://www.dpsnc.net/Page/2341,"All, Fayetteville Elementary School, Pearsontown Elementary, Githens Middle, Rogers-Herr Middle, Hillside High, School for Creative Studies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School for Creative Studies,Voyager Academy ,"101 Hock Parc Lane, Durham, NC 27704",36.0459781,-78.89581181,https://www.ymcatriangle.org/schools/voyager-academy-after-school,"All, Holt Elementary, School for Creative Studies, Carrington Middle, Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
