ARTS_NAME,name,Type,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
Empower Dance Studio,Empower Dance Studio,Dance,"109 W Parrish St, Durham, NC 27701 ",35.99568,-78.90069,www.empowerdancestudio.com,"All,Brogden Middle,Lakewood Montessori Middle,Riverside High,Holt Elementary,Durham School of the Arts,School for Creative Studies"
Triangle Youth Ballet,Triangle Youth Ballet,Dance,"1708 A, E Franklin St, Chapel Hill, NC 27514",35.93457,-79.02622811,www.triangleyouthballet.org ,
All In Dance Academy,All In Dance Academy,Dance,"5832 Fayetteville Rd #110, Durham, NC 27713 ",35.920898,-78.93010176,allindance.com,"All,Hillside High,Lakewood Montessori Middle,Southwest Elementary,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Fred Astaire Dance Studio of Durham,Fred Astaire Dance Studio of Durham,Dance,"4702 Garrett Rd, Durham, NC 27707 ",35.95411,-78.97340812,www.dancingfads.com ,"All,Jordan High,Lakewood Montessori Middle,Creekside Elementary,Sherwood Githens Middle,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Nina's School of Dance,Nina's School of Dance,Dance,"5341 N Roxboro St, Durham, NC 27712 ",36.07932849,-78.91279375,www.ninasschoolofdance.com ,"All,Lakewood Middle,Eno Valley Elementary,Carrington Middle,Northern High,Easley Elementary,School for Creative Studies"
African American Dance Ensemble,African American Dance Ensemble,Dance,"120 Morris St, Durham, NC 27701 ",35.9978168,-78.9034441,www.aade-inc.org,"All,Brogden Middle,Lakewood Montessori Middle,Riverside High, Glenn Elementary,Holt Elementary,School for Creative Studies"
Royal Legacy Dance Company,Royal Legacy Dance Company,Dance,"3111 Shannon Rd, Durham, NC 27707 ",35.9674037,-78.9545856,royal-legacy-dance-company.business.site,"All,Forest View Elementary,Jordan High,Lakewood Middle,Sherwood Githens Middle,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Arthur Murray Dance Studio of Durham,Arthur Murray Dance Studio of Durham,Dance,"410 W Geer St, Durham, NC 27701 ",36.0038563,-78.9002592,durhamarthurmurray.com ,"All,Glenn Elementary,Brodgen Middle,Riverside High,Holt Elementary,School for Creative Studies"
Bravo Academy of Dance,Bravo Academy of Dance,Dance,"50170 Governors Dr, Chapel Hill, NC 27517 ",35.8539603,-79.0248599,www.bravoacademyofdance.com ,"All,Brogden Middle,Lakewood Montessori Middle,Riverside High,Glenn Elementary,Holt Elementary"
Bull City Ballroom,Bull City Ballroom,Dance,"4015 University Dr K, Durham, NC 27707 ",35.9646506,-78.9566544,www.bullcityballroom.com ,"All,Jordan High,Lakewood Montessori Middle,Hope Valley Elementary,Sherwood Githens Middle,Pearsontown Elementary School,Rogers-Herr Middle,School for Creative Studies"
Down Right Dance,Down Right Dance,Dance,"2603 S Miami Blvd, Durham, NC 27703",35.9315765,-78.8428278,downrightdance.com,"All,Hillside High,Lakewood Montessori Middle,Lowes Grove Middle,Bethesda Elementary,Lowes Grove Middle,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Fred Astaire Dance Studio of Durham,Fred Astaire Dance Studio of Durham,Dance,"4702 Garrett Rd, Durham, NC 27707 ",35.9548048,-78.9728657,www.dancingfads.com,"All,Jordan High,Lakewood Montessori Middle,Creekside Elementary,Sherwood Githens Middle,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Encore Academy of Dance,Encore Academy of Dance,Dance,3823 Guess Rd,36.0577761,-78.9303601,https://www.encoreacademyofdance.com/,"All,Hillandale Elementary,Lakewood Montessori Middle,Riverside High,Easley Elementary,Carrington Middle,School for Creative Studies"
Walltown Children's Theatre,Walltown Children's Theatre,Dance,1225 Berkeley Street,36.0156517,-78.91560364,https://www.walltownchildrenstheatre.org/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Durham School for Ballet and the Performing Arts,Durham School for Ballet and the Performing Arts,Dance,608 N. Duke Street ,36.004325,-78.905558,https://www.durhamschoolforballet.com/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,George Watts Elementary,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Ninth Street Dance,Ninth Street Dance,Dance,1920 Perry St.,36.0076753,-78.9212929,https://ninthstreetdance.com/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,Little River Elementary,Carrington Middle,Northern High,Holt Elementary,School for Creative Studies"
Barriskill Dance Theatre School,Barriskill Dance Theatre School,Dance,3642 Shannon Road,35.9586464,-78.9550274,https://www.barriskilldance.com/,"All,Jordan High,Lakewood Montessori Middle,Hope Valley Elementary,Sherwood Githens Middle,Pearsontown Elementary, Rogers-Herr Middle,School for Creative Studies"
ADF's Samuel H. Scripps Studios,ADF's Samuel H. Scripps Studios,Dance,721 Broad Street,36.0093777,-78.9198199,https://americandancefestival.org/about-the-studios/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
African American Dance Ensemble,African American Dance Ensemble,Dance,"120 Morris Street, Durham , NC 27701",35.9978168,-78.9034441,https://www.africanamericandanceensemble.org/,"All,Brogden Middle,Lakewood Middle,Riverside High,Glenn Elementary,Brodgen Middle,Holt Elementary,School for Creative Studies"
Carolina Dance Academy,Carolina Dance Academy,Dance,"3101 Guess Rd, Ste E, Durham , NC 27705",36.034541,-78.9300213,http://cdaincdurham.com/,"All,Brogden Middle,Lakewood Middle,Riverside High,Holt Elementary,School for Creative Studies"
Collage Dance Company,Collage Dance Company,Dance,"804 Fayetteville Street, Durham, North Carolina 27701, United States",35.9856393,-78.8980299,https://collagedancecompany.com/,"All,Jordan High,Lakewood Montessori Middle,W.G. Pearson Elementary,Sherwood Githens Middle,Pearsontown Elementary,Rogers-Herr Middle,School of Creative Studies"
Dance with Ms. Erika!,Dance with Ms. Erika!,Dance,"North Durham, Durham , NC 27704",35.974713,-78.823732,https://www.zumbini.com/,"All,Lakewood Montessori Middle"
Durham Ballet Theatre,Durham Ballet Theatre,Dance,"608 N Duke Street, Durham , NC 27705",36.004325,-78.905558,https://www.durhamballettheatre.org/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,George Watts Elementary,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Living Arts Collective,Living Arts Collective,Dance,"410 W Geer Street, Durham , NC 27701",36.0038563,-78.9002592,https://www.livingartscollective.com/,"All,Brogden Middle,Lakewood Montessori Middle,Riverside High,Glenn Elementary,Holt Elementary,School for Creative Studies"
Sacred Womb Works,Sacred Womb Works,Dance,"Durham Chapel Hill Blvd, Durham , NC 27705",35.9710665,-78.9523611,https://www.sacredwombworks.com/,"All,Forest View Elementary,Jordan High,Lakewood Montessori Middle"
AAU Golden Dynasty Divas Dance,AAU Golden Dynasty Divas Dance,Dance,"Durham, NC 27703",35.996653,-78.9018053,,"All,Brogden Middle,Lakewood Montessori Middle,Riverside High"
Epic Cheer & Dance Academy,Epic Cheer & Dance Academy,Dance,"2020 Chapel Hill Rd Ste 33, Durham, NC 27707",35.9896578,-78.9280656,https://icheeratepic.com/,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Montessori Middle,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
