,varname,name,count
130,Libraries,Forest View Elementary School,0.0
131,Martial Arts,Forest View Elementary School,1.0
132,Parks,Forest View Elementary School,3.0
133,Recreation Centers,Forest View Elementary School,0.0
134,Religious Centers,Forest View Elementary School,7.0
135,y Arts,Forest View Elementary School,4.0
136,After-School Care Programs,Hillandale Elementary School,0.0
137,Bus Stops,Hillandale Elementary School,48.0
138,Childcare Centers_2022,Hillandale Elementary School,6.0
139,Community & Cultural Centers,Hillandale Elementary School,0.0
140,Community Arts,Hillandale Elementary School,3.0
141,Community Gardens,Hillandale Elementary School,0.0
142,Community Sports,Hillandale Elementary School,3.0
143,Farmer's Markets,Hillandale Elementary School,0.0
144,Food Pantries,Hillandale Elementary School,2.0
145,Grocery Stores,Hillandale Elementary School,3.0
146,Hospitals and Clinics,Hillandale Elementary School,1.0
147,Libraries,Hillandale Elementary School,0.0
148,Martial Arts,Hillandale Elementary School,2.0
149,Parks,Hillandale Elementary School,2.0
150,Recreation Centers,Hillandale Elementary School,0.0
151,Religious Centers,Hillandale Elementary School,11.0
152,y Arts,Hillandale Elementary School,3.0
153,After-School Care Programs,Hillside High School,4.0
154,Bus Stops,Hillside High School,251.0
155,Childcare Centers_2022,Hillside High School,87.0
156,Community & Cultural Centers,Hillside High School,0.0
157,Community Arts,Hillside High School,2.0
158,Community Gardens,Hillside High School,1.0
159,Community Sports,Hillside High School,5.0
160,Farmer's Markets,Hillside High School,3.0
161,Food Pantries,Hillside High School,16.0
162,Grocery Stores,Hillside High School,13.0
163,Hospitals and Clinics,Hillside High School,1.0
164,Libraries,Hillside High School,2.0
165,Martial Arts,Hillside High School,0.0
166,Parks,Hillside High School,13.0
167,Recreation Centers,Hillside High School,3.0
168,Religious Centers,Hillside High School,45.0
169,y Arts,Hillside High School,2.0
170,After-School Care Programs,Jordan High School,9.0
171,Bus Stops,Jordan High School,222.0
172,Childcare Centers_2022,Jordan High School,52.0
173,Community & Cultural Centers,Jordan High School,5.0
174,Community Arts,Jordan High School,20.0
175,Community Gardens,Jordan High School,2.0
176,Community Sports,Jordan High School,6.0
177,Farmer's Markets,Jordan High School,0.0
178,Food Pantries,Jordan High School,10.0
179,Grocery Stores,Jordan High School,31.0
180,Hospitals and Clinics,Jordan High School,3.0
181,Libraries,Jordan High School,2.0
182,Martial Arts,Jordan High School,4.0
183,Parks,Jordan High School,17.0
184,Recreation Centers,Jordan High School,4.0
185,Religious Centers,Jordan High School,56.0
186,y Arts,Jordan High School,20.0
187,After-School Care Programs,Lakewood Elementary School,2.0
188,Bus Stops,Lakewood Elementary School,41.0
189,Childcare Centers_2022,Lakewood Elementary School,7.0
190,Community & Cultural Centers,Lakewood Elementary School,2.0
191,Community Arts,Lakewood Elementary School,3.0
192,Community Gardens,Lakewood Elementary School,2.0
193,Community Sports,Lakewood Elementary School,1.0
194,Farmer's Markets,Lakewood Elementary School,0.0
195,Food Pantries,Lakewood Elementary School,3.0
196,Grocery Stores,Lakewood Elementary School,4.0
197,Hospitals and Clinics,Lakewood Elementary School,0.0
198,Libraries,Lakewood Elementary School,0.0
199,Martial Arts,Lakewood Elementary School,0.0
200,Parks,Lakewood Elementary School,3.0
201,Recreation Centers,Lakewood Elementary School,0.0
202,Religious Centers,Lakewood Elementary School,7.0
203,y Arts,Lakewood Elementary School,3.0
204,After-School Care Programs,Lakewood Middle School,24.0
205,Bus Stops,Lakewood Middle School,1037.0
206,Childcare Centers_2022,Lakewood Middle School,258.0
207,Community & Cultural Centers,Lakewood Middle School,9.0
208,Community Arts,Lakewood Middle School,59.0
209,Community Gardens,Lakewood Middle School,6.0
210,Community Sports,Lakewood Middle School,23.0
211,Farmer's Markets,Lakewood Middle School,5.0
212,Food Pantries,Lakewood Middle School,63.0
213,Grocery Stores,Lakewood Middle School,91.0
214,Hospitals and Clinics,Lakewood Middle School,16.0
215,Libraries,Lakewood Middle School,8.0
216,Martial Arts,Lakewood Middle School,11.0
217,Parks,Lakewood Middle School,73.0
218,Recreation Centers,Lakewood Middle School,13.0
219,Religious Centers,Lakewood Middle School,217.0
220,y Arts,Lakewood Middle School,59.0
221,After-School Care Programs,Lowes Grove Middle School,3.0
222,Bus Stops,Lowes Grove Middle School,197.0
223,Childcare Centers_2022,Lowes Grove Middle School,78.0
224,Community & Cultural Centers,Lowes Grove Middle School,0.0
225,Community Arts,Lowes Grove Middle School,1.0
226,Community Gardens,Lowes Grove Middle School,1.0
227,Community Sports,Lowes Grove Middle School,4.0
228,Farmer's Markets,Lowes Grove Middle School,3.0
229,Food Pantries,Lowes Grove Middle School,12.0
230,Grocery Stores,Lowes Grove Middle School,11.0
231,Hospitals and Clinics,Lowes Grove Middle School,1.0
232,Libraries,Lowes Grove Middle School,1.0
233,Martial Arts,Lowes Grove Middle School,0.0
234,Parks,Lowes Grove Middle School,8.0
235,Recreation Centers,Lowes Grove Middle School,2.0
236,Religious Centers,Lowes Grove Middle School,32.0
237,y Arts,Lowes Grove Middle School,1.0
238,After-School Care Programs,Parkwood Elementary School,0.0
239,Bus Stops,Parkwood Elementary School,52.0
240,Childcare Centers_2022,Parkwood Elementary School,24.0
241,Community & Cultural Centers,Parkwood Elementary School,0.0
242,Community Arts,Parkwood Elementary School,0.0
243,Community Gardens,Parkwood Elementary School,0.0
244,Community Sports,Parkwood Elementary School,1.0
245,Farmer's Markets,Parkwood Elementary School,2.0
246,Food Pantries,Parkwood Elementary School,3.0
247,Grocery Stores,Parkwood Elementary School,5.0
248,Hospitals and Clinics,Parkwood Elementary School,0.0
249,Libraries,Parkwood Elementary School,0.0
250,Martial Arts,Parkwood Elementary School,0.0
251,Parks,Parkwood Elementary School,1.0
252,Recreation Centers,Parkwood Elementary School,0.0
253,Religious Centers,Parkwood Elementary School,7.0
254,y Arts,Parkwood Elementary School,0.0
255,After-School Care Programs,Riverside High School,8.0
256,Bus Stops,Riverside High School,340.0
257,Childcare Centers_2022,Riverside High School,39.0
258,Community & Cultural Centers,Riverside High School,2.0
259,Community Arts,Riverside High School,32.0
260,Community Gardens,Riverside High School,2.0
261,Community Sports,Riverside High School,8.0
262,Farmer's Markets,Riverside High School,1.0
263,Food Pantries,Riverside High School,13.0
264,Grocery Stores,Riverside High School,22.0
265,Hospitals and Clinics,Riverside High School,12.0
266,Libraries,Riverside High School,1.0
267,Martial Arts,Riverside High School,3.0
268,Parks,Riverside High School,21.0
269,Recreation Centers,Riverside High School,4.0
270,Religious Centers,Riverside High School,53.0
271,y Arts,Riverside High School,32.0
272,After-School Care Programs,Southwest Elementary School,1.0
273,Bus Stops,Southwest Elementary School,32.0
274,Childcare Centers_2022,Southwest Elementary School,17.0
275,Community & Cultural Centers,Southwest Elementary School,1.0
276,Community Arts,Southwest Elementary School,1.0
277,Community Gardens,Southwest Elementary School,0.0
278,Community Sports,Southwest Elementary School,0.0
279,Farmer's Markets,Southwest Elementary School,0.0
280,Food Pantries,Southwest Elementary School,0.0
281,Grocery Stores,Southwest Elementary School,2.0
282,Hospitals and Clinics,Southwest Elementary School,0.0
283,Libraries,Southwest Elementary School,0.0
284,Martial Arts,Southwest Elementary School,0.0
285,Parks,Southwest Elementary School,3.0
286,Recreation Centers,Southwest Elementary School,0.0
287,Religious Centers,Southwest Elementary School,9.0
288,y Arts,Southwest Elementary School,1.0
